full_date,date,weekday,time,mood,activities,note
2020-01-07,7 janvier,mardi,23:01,bien,"work|Languages|Coding|Audible|movies",""
2020-01-06,6 janvier,lundi,22:02,mouais,"work|relax|Coding|reading|Audible|movies",""
2020-01-05,5 janvier,dimanche,22:00,mouais,"relax|reading",""
2020-01-04,4 janvier,samedi,22:17,mouais,"relax|good meal|reading|movies",""
2020-01-03,3 janvier,vendredi,22:30,mouais,"work|relax|good meal|movies",""
2020-01-02,2 janvier,jeudi,23:18,mouais,"work|relax|Coding|gaming",""
2020-01-01,1 janvier,mercredi,22:00,mouais,"relax|good meal|reading|Audible|movies",""
2019-12-31,31 décembre,mardi,22:02,mouais,"work|relax|good meal|reading|Audible",""
2019-12-30,30 décembre,lundi,22:02,mouais,"work|relax|Languages|reading|Audible|movies",""
2019-12-29,29 décembre,dimanche,22:56,mouais,"relax|Languages|Coding|reading|movies|gaming",""
2019-12-28,28 décembre,samedi,22:24,mouais,"work|relax|reading|Audible|movies",""
2019-12-27,27 décembre,vendredi,22:03,mouais,"work|relax|reading|Audible|Weight lifting|movies",""
2019-12-26,26 décembre,jeudi,22:04,bien,"work|relax|good meal|Audible|Weight lifting|Running",""
2019-12-25,25 décembre,mercredi,22:01,bien,"relax|good meal|reading|movies",""
2019-12-24,24 décembre,mardi,22:10,mouais,"work|relax|good meal|movies",""
2019-12-23,23 décembre,lundi,22:02,bien,"work|relax|good meal|Languages|reading|Audible|movies",""
2019-12-22,22 décembre,dimanche,22:05,bien,"work|relax|good meal|reading|Audible|movies",""
2019-12-21,21 décembre,samedi,22:02,bien,"relax|good meal|Languages|Audible|movies",""
2019-12-20,20 décembre,vendredi,22:06,mouais,"work|relax|good meal|movies",""
2019-12-19,19 décembre,jeudi,22:30,bien,"work|relax|Languages|Audible|movies",""
2019-12-18,18 décembre,mercredi,22:43,mouais,"work|relax|good meal|Languages|Coding|reading|Audible|movies",""
2019-12-17,17 décembre,mardi,22:05,mouais,"work|relax|good meal|date|movies",""
2019-12-16,16 décembre,lundi,22:00,mouais,"work|Languages|Coding|Weight lifting",""
2019-12-15,15 décembre,dimanche,22:03,mouais,"relax|good meal|movies",""
2019-12-15,15 décembre,dimanche,16:22,mauvais,"relax|party",""
2019-12-14,14 décembre,samedi,22:01,mouais,"relax|good meal|Coding|reading|Audible|movies",""
2019-12-13,13 décembre,vendredi,22:00,bien,"work|relax|good meal|Coding|Audible|movies",""
2019-12-12,12 décembre,jeudi,22:01,mouais,"work|relax|Languages|Coding|reading|Audible|movies",""
2019-12-11,11 décembre,mercredi,22:09,mouais,"work|relax|good meal|Languages|Coding|Audible|movies",""
2019-12-10,10 décembre,mardi,22:04,mauvais,"work|relax|reading|Audible|movies",""
2019-12-09,9 décembre,lundi,22:01,bien,"work|Languages|Coding|Audible|Weight lifting|movies",""
2019-12-08,8 décembre,dimanche,22:21,mauvais,"relax|good meal|reading|movies",""
2019-12-07,7 décembre,samedi,22:03,mauvais,"relax|good meal|reading|movies",""
2019-12-06,6 décembre,vendredi,22:30,mouais,"work|relax|travel|good meal|movies",""
2019-12-05,5 décembre,jeudi,22:08,mouais,"work|relax|good meal|Languages|Coding|reading|Audible|movies",""
2019-12-04,4 décembre,mercredi,22:01,bien,"work|relax|travel|good meal|Languages|Coding|reading|Audible|movies",""
2019-12-03,3 décembre,mardi,22:00,mouais,"work|relax|Languages|Coding|reading|movies",""
2019-12-02,2 décembre,lundi,22:35,mouais,"work|relax|Languages|Coding|reading|movies|gaming",""
2019-12-01,1 décembre,dimanche,22:01,bien,"relax|good meal|Languages|Coding|Audible|movies|gaming",""
2019-11-30,30 novembre,samedi,22:07,mouais,"relax|Languages|Coding|Audible|movies",""
2019-11-29,29 novembre,vendredi,22:14,mouais,"work|relax|Languages|Audible|gaming",""
2019-11-28,28 novembre,jeudi,22:00,mouais,"work|relax|Languages|Coding|Audible",""
2019-11-27,27 novembre,mercredi,22:00,mouais,"work|relax|good meal|Languages|Saxophone|Coding|Audible|movies",""
2019-11-26,26 novembre,mardi,22:04,mouais,"work|relax|cleaning|Languages|Coding|reading|movies",""
2019-11-25,25 novembre,lundi,20:00,mouais,"work|relax|good meal|Languages|Running",""
2019-11-24,24 novembre,dimanche,22:14,mouais,"relax|travel|good meal|Languages|Coding|Audible",""
2019-11-23,23 novembre,samedi,22:01,mouais,"relax|good meal|Languages|Coding|reading|Audible",""
2019-11-22,22 novembre,vendredi,22:50,mouais,"relax|good meal|Languages|reading",""
2019-11-21,21 novembre,jeudi,22:30,bien,"relax|cleaning|Languages|movies",""
2019-11-20,20 novembre,mercredi,22:01,mouais,"work|relax|good meal|reading",""
